Number of steps: 500
Update Matrix <4,4>: [
  5.150002,	  3.861698,	  10.000000,	  4.947846,	
  5.200002,	  3.886437,	  10.000000,	  4.898796,	
  5.250002,	  3.910931,	  10.000000,	  4.849746,	
  5.300002,	  3.935180,	  10.000000,	  4.800696,	
  5.350002,	  3.959184,	  10.000000,	  4.751647,	
  5.400002,	  3.982942,	  10.000000,	  4.702597,	
  5.450003,	  4.006455,	  10.000000,	  4.653547,	
  5.500003,	  4.029723,	  10.000000,	  4.604497,	
  5.550003,	  4.052745,	  10.000000,	  4.555447,	
  5.600003,	  4.075522,	  10.000000,	  4.506397,	
  5.650003,	  4.098054,	  10.000000,	  4.457347,	
  5.700004,	  4.120341,	  10.000000,	  4.408298,	
  5.750004,	  4.142383,	  10.000000,	  4.359248,	
  5.800004,	  4.164179,	  10.000000,	  4.310198,	
  5.850004,	  4.185730,	  10.000000,	  4.261148,	
  5.900004,	  4.207036,	  10.000000,	  4.212098,	
  5.950005,	  4.228096,	  10.000000,	  4.163048,	
  6.000005,	  4.248911,	  10.000000,	  4.113998,	
  6.050005,	  4.269481,	  10.000000,	  4.064949,	
  6.100005,	  4.289806,	  10.000000,	  4.015899,	
  6.150005,	  4.309886,	  10.000000,	  3.966849,	
  6.200006,	  4.329720,	  10.000000,	  3.917799,	
  6.250006,	  4.349308,	  10.000000,	  3.868748,	
  6.300006,	  4.368652,	  10.000000,	  3.819698,	
  6.350006,	  4.387751,	  10.000000,	  3.770648,	
  6.400006,	  4.406604,	  10.000000,	  3.721598,	
  6.450006,	  4.425212,	  10.000000,	  3.672548,	
  6.500007,	  4.443574,	  10.000000,	  3.623498,	
  6.550007,	  4.461692,	  10.000000,	  3.574448,	
  6.600007,	  4.479564,	  10.000000,	  3.525398,	
  6.650007,	  4.497191,	  10.000000,	  3.476348,	
  6.700007,	  4.514573,	  10.000000,	  3.427298,	
  6.750008,	  4.531709,	  10.000000,	  3.378247,	
  6.800008,	  4.548600,	  10.000000,	  3.329197,	
  6.850008,	  4.565246,	  10.000000,	  3.280147,	
  6.900008,	  4.581647,	  10.000000,	  3.231097,	
  6.950008,	  4.597803,	  10.000000,	  3.182047,	
  7.000009,	  4.613713,	  10.000000,	  3.132997,	
  7.050009,	  4.629378,	  10.000000,	  3.083947,	
  7.100009,	  4.644798,	  10.000000,	  3.034897,	
  7.150009,	  4.659972,	  10.000000,	  2.985847,	
  7.200009,	  4.674901,	  10.000000,	  2.936797,	
  7.250010,	  4.689586,	  10.000000,	  2.887747,	
  7.300010,	  4.704024,	  10.000000,	  2.838696,	
  7.350010,	  4.718218,	  10.000000,	  2.789646,	
  7.400010,	  4.732166,	  10.000000,	  2.740596,	
  7.450010,	  4.745869,	  10.000000,	  2.691546,	
  7.500010,	  4.759327,	  10.000000,	  2.642496,	
  7.550011,	  4.772540,	  10.000000,	  2.593446,	
  7.600011,	  4.785507,	  10.000000,	  2.544396,	
  7.650011,	  4.798229,	  10.000000,	  2.495346,	
  7.700011,	  4.810706,	  10.000000,	  2.446296,	
  7.750011,	  4.822937,	  10.000000,	  2.397246,	
  7.800012,	  4.834923,	  10.000000,	  2.348196,	
  7.850012,	  4.846664,	  10.000000,	  2.299145,	
  7.900012,	  4.858160,	  10.000000,	  2.250095,	
  7.950012,	  4.869411,	  10.000000,	  2.201045,	
  8.000012,	  4.880416,	  10.000000,	  2.151995,	
  8.050013,	  4.891176,	  10.000000,	  2.102945,	
  8.100013,	  4.901690,	  10.000000,	  2.053895,	
  8.150013,	  4.911960,	  10.000000,	  2.004845,	
  8.200013,	  4.921984,	  10.000000,	  1.955795,	
  8.250013,	  4.931763,	  10.000000,	  1.906745,	
  8.300014,	  4.941297,	  10.000000,	  1.857695,	
  8.350014,	  4.950585,	  10.000000,	  1.808645,	
  8.400014,	  4.959629,	  10.000000,	  1.759595,	
  8.450014,	  4.968427,	  10.000000,	  1.710545,	
  8.500014,	  4.976979,	  10.000000,	  1.661495,	
  8.550014,	  4.985287,	  10.000000,	  1.612445,	
  8.600015,	  4.993349,	  10.000000,	  1.563395,	
  8.650015,	  5.001166,	  10.000000,	  1.514345,	
  8.700015,	  5.008738,	  10.000000,	  1.465295,	
  8.750015,	  5.016064,	  10.000000,	  1.416245,	
  8.800015,	  5.023145,	  10.000000,	  1.367195,	
  8.850016,	  5.029981,	  10.000000,	  1.318145,	
  8.900016,	  5.036572,	  10.000000,	  1.269095,	
  8.950016,	  5.042917,	  10.000000,	  1.220045,	
  9.000016,	  5.049017,	  10.000000,	  1.170995,	
  9.050016,	  5.054873,	  10.000000,	  1.121945,	
  9.100017,	  5.060482,	  10.000000,	  1.072895,	
  9.150017,	  5.065846,	  10.000000,	  1.023845,	
  9.200017,	  5.070966,	  10.000000,	  0.974795,	
  9.250017,	  5.075840,	  10.000000,	  0.925745,	
  9.300017,	  5.080468,	  10.000000,	  0.876696,	
  9.350018,	  5.084852,	  10.000000,	  0.827646,	
  9.400018,	  5.088990,	  10.000000,	  0.778596,	
  9.450018,	  5.092883,	  10.000000,	  0.729546,	
  9.500018,	  5.096530,	  10.000000,	  0.680496,	
  9.550018,	  5.099933,	  10.000000,	  0.631446,	
  9.600019,	  5.103090,	  10.000000,	  0.582396,	
  9.650019,	  5.106002,	  10.000000,	  0.533346,	
  9.700019,	  5.108669,	  10.000000,	  0.484296,	
  9.750019,	  5.111091,	  10.000000,	  0.435246,	
  9.800019,	  5.113267,	  10.000000,	  0.386196,	
  9.850019,	  5.115198,	  10.000000,	  0.337146,	
  9.900020,	  5.116884,	  10.000000,	  0.288096,	
  9.950020,	  5.118324,	  10.000000,	  0.239046,	
  10.000020,	  5.119520,	  10.000000,	  0.189996,	
  10.050020,	  5.120470,	  10.000000,	  0.140946,	
  10.100020,	  5.121174,	  10.000000,	  0.091896,	
  10.150021,	  5.121634,	  10.000000,	  0.042846,	
  10.200021,	  5.121848,	  10.000000,	  -0.006204,	
  10.250021,	  5.121817,	  10.000000,	  -0.055254,	
  10.300021,	  5.121541,	  10.000000,	  -0.104304,	
  10.350021,	  5.121019,	  10.000000,	  -0.153354,	
