Number of steps: 500
Force Vector <4> : [
  0.000000,
  0.000000,
  0.000000,
  -9.810000,
]
Initial State <4> : [
  0.000000,
  0.000000,
  10.000000,
  10.000000,
]
	x,	y,	vx,	vy,
Results <500,4>: [
  7.060454,	  -5.678027,	  0.648778,	  -6.811744,	
  7.063698,	  -5.712085,	  0.644339,	  -6.814184,	
  7.066919,	  -5.746156,	  0.639929,	  -6.816594,	
  7.070119,	  -5.780239,	  0.635547,	  -6.818974,	
  7.073297,	  -5.814334,	  0.631195,	  -6.821323,	
  7.076453,	  -5.848441,	  0.626871,	  -6.823644,	
  7.079587,	  -5.882559,	  0.622575,	  -6.825936,	
  7.082700,	  -5.916688,	  0.618308,	  -6.828199,	
  7.085791,	  -5.950830,	  0.614069,	  -6.830434,	
  7.088861,	  -5.984982,	  0.609858,	  -6.832641,	
  7.091911,	  -6.019145,	  0.605674,	  -6.834820,	
  7.094939,	  -6.053319,	  0.601518,	  -6.836972,	
  7.097947,	  -6.087503,	  0.597390,	  -6.839097,	
  7.100934,	  -6.121699,	  0.593289,	  -6.841196,	
  7.103900,	  -6.155905,	  0.589215,	  -6.843268,	
  7.106846,	  -6.190121,	  0.585167,	  -6.845315,	
  7.109772,	  -6.224348,	  0.581147,	  -6.847336,	
  7.112678,	  -6.258584,	  0.577154,	  -6.849331,	
  7.115563,	  -6.292831,	  0.573186,	  -6.851302,	
  7.118429,	  -6.327087,	  0.569246,	  -6.853247,	
  7.121275,	  -6.361354,	  0.565331,	  -6.855168,	
  7.124102,	  -6.395630,	  0.561442,	  -6.857066,	
  7.126909,	  -6.429915,	  0.557580,	  -6.858939,	
  7.129697,	  -6.464210,	  0.553743,	  -6.860789,	
  7.132466,	  -6.498514,	  0.549931,	  -6.862615,	
  7.135215,	  -6.532827,	  0.546145,	  -6.864419,	
  7.137946,	  -6.567150,	  0.542384,	  -6.866199,	
  7.140658,	  -6.601480,	  0.538649,	  -6.867958,	
  7.143351,	  -6.635820,	  0.534938,	  -6.869694,	
  7.146026,	  -6.670169,	  0.531252,	  -6.871408,	
  7.148682,	  -6.704526,	  0.527590,	  -6.873101,	
  7.151320,	  -6.738892,	  0.523954,	  -6.874773,	
  7.153940,	  -6.773265,	  0.520341,	  -6.876423,	
  7.156541,	  -6.807648,	  0.516753,	  -6.878053,	
  7.159125,	  -6.842038,	  0.513188,	  -6.879662,	
  7.161691,	  -6.876436,	  0.509648,	  -6.881250,	
  7.164239,	  -6.910842,	  0.506131,	  -6.882819,	
  7.166770,	  -6.945257,	  0.502638,	  -6.884368,	
  7.169283,	  -6.979679,	  0.499169,	  -6.885897,	
  7.171779,	  -7.014108,	  0.495723,	  -6.887407,	
  7.174258,	  -7.048545,	  0.492300,	  -6.888898,	
  7.176719,	  -7.082990,	  0.488900,	  -6.890370,	
  7.179163,	  -7.117442,	  0.485522,	  -6.891824,	
  7.181591,	  -7.151901,	  0.482168,	  -6.893259,	
  7.184002,	  -7.186367,	  0.478836,	  -6.894676,	
  7.186396,	  -7.220840,	  0.475527,	  -6.896075,	
  7.188774,	  -7.255321,	  0.472240,	  -6.897456,	
  7.191135,	  -7.289808,	  0.468975,	  -6.898820,	
  7.193480,	  -7.324302,	  0.465732,	  -6.900167,	
  7.195809,	  -7.358803,	  0.462511,	  -6.901496,	
  7.198122,	  -7.393310,	  0.459312,	  -6.902809,	
]
