Number of steps: 500
Force Vector <4> : [
  0.000000,
  0.000000,
  0.000000,
  -9.810000,
]
Initial State <4> : [
  0.000000,
  0.000000,
  10.000000,
  10.000000,
]
	x,	y,	vx,	vy,
Results <500,4>: [
  3.363805,	  2.272160,	  4.366853,	  0.490068,	
  3.385639,	  2.274610,	  4.347664,	  0.438864,	
  3.407377,	  2.276804,	  4.328666,	  0.387897,	
  3.429021,	  2.278744,	  4.309854,	  0.337161,	
  3.450570,	  2.280430,	  4.291222,	  0.286653,	
  3.472026,	  2.281863,	  4.272767,	  0.236370,	
  3.493390,	  2.283045,	  4.254482,	  0.186309,	
  3.514662,	  2.283977,	  4.236364,	  0.136466,	
  3.535844,	  2.284659,	  4.218408,	  0.086837,	
  3.556936,	  2.285093,	  4.200609,	  0.037421,	
  3.577939,	  2.285280,	  4.182963,	  -0.011786,	
  3.598854,	  2.285221,	  4.165466,	  -0.060787,	
  3.619681,	  2.284917,	  4.148113,	  -0.109584,	
  3.640421,	  2.284369,	  4.130900,	  -0.158179,	
  3.661076,	  2.283579,	  4.113823,	  -0.206575,	
  3.681645,	  2.282546,	  4.096879,	  -0.254774,	
  3.702129,	  2.281272,	  4.080062,	  -0.302779,	
  3.722530,	  2.279758,	  4.063369,	  -0.350590,	
  3.742846,	  2.278005,	  4.046797,	  -0.398210,	
  3.763080,	  2.276014,	  4.030341,	  -0.445641,	
  3.783232,	  2.273786,	  4.013999,	  -0.492884,	
  3.803302,	  2.271321,	  3.997765,	  -0.539940,	
  3.823291,	  2.268622,	  3.981638,	  -0.586812,	
  3.843199,	  2.265688,	  3.965613,	  -0.633501,	
  3.863027,	  2.262520,	  3.949688,	  -0.680007,	
  3.882776,	  2.259120,	  3.933858,	  -0.726331,	
  3.902445,	  2.255489,	  3.918122,	  -0.772476,	
  3.922035,	  2.251626,	  3.902474,	  -0.818441,	
  3.941548,	  2.247534,	  3.886914,	  -0.864227,	
  3.960982,	  2.243213,	  3.871437,	  -0.909836,	
  3.980340,	  2.238664,	  3.856040,	  -0.955268,	
  3.999620,	  2.233887,	  3.840722,	  -1.000523,	
  4.018823,	  2.228885,	  3.825478,	  -1.045602,	
  4.037951,	  2.223657,	  3.810307,	  -1.090505,	
  4.057002,	  2.218204,	  3.795206,	  -1.135233,	
  4.075978,	  2.212528,	  3.780172,	  -1.179786,	
  4.094879,	  2.206629,	  3.765202,	  -1.224164,	
  4.113705,	  2.200508,	  3.750295,	  -1.268368,	
  4.132457,	  2.194166,	  3.735448,	  -1.312396,	
  4.151134,	  2.187604,	  3.720658,	  -1.356250,	
  4.169737,	  2.180823,	  3.705924,	  -1.399929,	
  4.188267,	  2.173823,	  3.691242,	  -1.443433,	
  4.206723,	  2.166606,	  3.676612,	  -1.486762,	
  4.225106,	  2.159172,	  3.662031,	  -1.529916,	
  4.243416,	  2.151522,	  3.647498,	  -1.572894,	
  4.261653,	  2.143658,	  3.633009,	  -1.615696,	
  4.279819,	  2.135579,	  3.618564,	  -1.658322,	
  4.297911,	  2.127288,	  3.604161,	  -1.700771,	
  4.315932,	  2.118784,	  3.589797,	  -1.743043,	
  4.333881,	  2.110069,	  3.575471,	  -1.785138,	
  4.351758,	  2.101143,	  3.561182,	  -1.827054,	
  4.369565,	  2.092008,	  3.546929,	  -1.868791,	
  4.387299,	  2.082664,	  3.532709,	  -1.910349,	
  4.404963,	  2.073112,	  3.518521,	  -1.951726,	
  4.422555,	  2.063353,	  3.504364,	  -1.992923,	
  4.440077,	  2.053389,	  3.490237,	  -2.033939,	
  4.457528,	  2.043219,	  3.476137,	  -2.074773,	
  4.474909,	  2.032845,	  3.462065,	  -2.115424,	
  4.492219,	  2.022268,	  3.448019,	  -2.155891,	
  4.509459,	  2.011488,	  3.433997,	  -2.196174,	
  4.526629,	  2.000508,	  3.420000,	  -2.236272,	
  4.543729,	  1.989326,	  3.406025,	  -2.276184,	
  4.560759,	  1.977945,	  3.392072,	  -2.315909,	
  4.577719,	  1.966366,	  3.378139,	  -2.355447,	
  4.594610,	  1.954589,	  3.364228,	  -2.394797,	
  4.611431,	  1.942615,	  3.350335,	  -2.433957,	
  4.628182,	  1.930445,	  3.336461,	  -2.472928,	
  4.644865,	  1.918080,	  3.322604,	  -2.511708,	
  4.661478,	  1.905522,	  3.308765,	  -2.550296,	
  4.678021,	  1.892770,	  3.294943,	  -2.588692,	
  4.694496,	  1.879827,	  3.281136,	  -2.626895,	
  4.710902,	  1.866692,	  3.267345,	  -2.664904,	
  4.727239,	  1.853368,	  3.253569,	  -2.702718,	
  4.743506,	  1.839854,	  3.239808,	  -2.740336,	
  4.759706,	  1.826152,	  3.226060,	  -2.777758,	
  4.775836,	  1.812263,	  3.212326,	  -2.814983,	
  4.791898,	  1.798189,	  3.198606,	  -2.852009,	
  4.807891,	  1.783929,	  3.184898,	  -2.888837,	
  4.823815,	  1.769484,	  3.171204,	  -2.925465,	
  4.839671,	  1.754857,	  3.157521,	  -2.961893,	
  4.855459,	  1.740047,	  3.143852,	  -2.998120,	
  4.871178,	  1.725057,	  3.130194,	  -3.034146,	
  4.886829,	  1.709886,	  3.116549,	  -3.069969,	
  4.902411,	  1.694536,	  3.102915,	  -3.105589,	
  4.917926,	  1.679008,	  3.089293,	  -3.141005,	
  4.933372,	  1.663303,	  3.075682,	  -3.176217,	
  4.948751,	  1.647422,	  3.062084,	  -3.211224,	
  4.964061,	  1.631366,	  3.048497,	  -3.246025,	
  4.979304,	  1.615136,	  3.034921,	  -3.280620,	
  4.994478,	  1.598733,	  3.021358,	  -3.315009,	
  5.009585,	  1.582158,	  3.007806,	  -3.349190,	
  5.024624,	  1.565412,	  2.994267,	  -3.383163,	
  5.039595,	  1.548496,	  2.980739,	  -3.416929,	
  5.054499,	  1.531412,	  2.967223,	  -3.450485,	
  5.069335,	  1.514159,	  2.953720,	  -3.483833,	
  5.084104,	  1.496740,	  2.940229,	  -3.516970,	
  5.098805,	  1.479155,	  2.926750,	  -3.549898,	
  5.113439,	  1.461406,	  2.913285,	  -3.582616,	
  5.128005,	  1.443493,	  2.899832,	  -3.615123,	
  5.142504,	  1.425417,	  2.886393,	  -3.647418,	
  5.156936,	  1.407180,	  2.872968,	  -3.679503,	
  5.171301,	  1.388782,	  2.859556,	  -3.711376,	
  5.185599,	  1.370225,	  2.846158,	  -3.743037,	
  5.199830,	  1.351510,	  2.832775,	  -3.774487,	
  5.213994,	  1.332638,	  2.819406,	  -3.805724,	
  5.228091,	  1.313609,	  2.806053,	  -3.836749,	
  5.242121,	  1.294425,	  2.792714,	  -3.867561,	
  5.256085,	  1.275088,	  2.779392,	  -3.898161,	
  5.269982,	  1.255597,	  2.766085,	  -3.928549,	
  5.283813,	  1.235954,	  2.752795,	  -3.958724,	
  5.297576,	  1.216161,	  2.739522,	  -3.988686,	
  5.311274,	  1.196217,	  2.726266,	  -4.018435,	
  5.324905,	  1.176125,	  2.713027,	  -4.047972,	
  5.338470,	  1.155885,	  2.699806,	  -4.077296,	
  5.351970,	  1.135499,	  2.686604,	  -4.106407,	
  5.365403,	  1.114967,	  2.673420,	  -4.135306,	
  5.378770,	  1.094290,	  2.660256,	  -4.163993,	
  5.392071,	  1.073470,	  2.647111,	  -4.192468,	
  5.405307,	  1.052508,	  2.633986,	  -4.220731,	
  5.418477,	  1.031404,	  2.620881,	  -4.248782,	
  5.431581,	  1.010160,	  2.607798,	  -4.276621,	
  5.444620,	  0.988777,	  2.594735,	  -4.304250,	
  5.457594,	  0.967256,	  2.581694,	  -4.331667,	
  5.470502,	  0.945597,	  2.568676,	  -4.358874,	
  5.483346,	  0.923803,	  2.555680,	  -4.385871,	
  5.496124,	  0.901874,	  2.542707,	  -4.412658,	
  5.508838,	  0.879810,	  2.529757,	  -4.439235,	
  5.521486,	  0.857614,	  2.516832,	  -4.465603,	
  5.534070,	  0.835286,	  2.503930,	  -4.491762,	
  5.546590,	  0.812827,	  2.491054,	  -4.517713,	
  5.559046,	  0.790239,	  2.478203,	  -4.543456,	
  5.571437,	  0.767522,	  2.465377,	  -4.568992,	
  5.583764,	  0.744677,	  2.452577,	  -4.594321,	
  5.596026,	  0.721705,	  2.439804,	  -4.619444,	
  5.608225,	  0.698608,	  2.427058,	  -4.644361,	
  5.620361,	  0.675386,	  2.414340,	  -4.669074,	
  5.632432,	  0.652041,	  2.401649,	  -4.693581,	
  5.644441,	  0.628573,	  2.388987,	  -4.717885,	
  5.656385,	  0.604983,	  2.376354,	  -4.741986,	
  5.668267,	  0.581273,	  2.363749,	  -4.765884,	
  5.680086,	  0.557444,	  2.351174,	  -4.789580,	
  5.691842,	  0.533496,	  2.338629,	  -4.813075,	
  5.703535,	  0.509431,	  2.326115,	  -4.836370,	
  5.715166,	  0.485249,	  2.313631,	  -4.859464,	
  5.726734,	  0.460951,	  2.301179,	  -4.882360,	
  5.738240,	  0.436540,	  2.288758,	  -4.905057,	
  5.749683,	  0.412014,	  2.276370,	  -4.927557,	
  5.761065,	  0.387377,	  2.264014,	  -4.949861,	
  5.772385,	  0.362627,	  2.251691,	  -4.971969,	
  5.783644,	  0.337767,	  2.239401,	  -4.993881,	
  5.794841,	  0.312798,	  2.227144,	  -5.015600,	
  5.805976,	  0.287720,	  2.214922,	  -5.037125,	
  5.817051,	  0.262534,	  2.202734,	  -5.058458,	
  5.828064,	  0.237242,	  2.190581,	  -5.079599,	
  5.839017,	  0.211844,	  2.178463,	  -5.100550,	
  5.849910,	  0.186341,	  2.166381,	  -5.121311,	
  5.860742,	  0.160735,	  2.154335,	  -5.141883,	
  5.871513,	  0.135025,	  2.142324,	  -5.162267,	
  5.882225,	  0.109214,	  2.130350,	  -5.182465,	
  5.892877,	  0.083302,	  2.118413,	  -5.202476,	
  5.903469,	  0.057289,	  2.106514,	  -5.222302,	
  5.914001,	  0.031178,	  2.094652,	  -5.241945,	
  5.924474,	  0.004968,	  2.082828,	  -5.261404,	
  5.934888,	  -0.021339,	  2.071042,	  -5.280682,	
  5.945243,	  -0.047742,	  2.059294,	  -5.299778,	
  5.955540,	  -0.074241,	  2.047585,	  -5.318695,	
  5.965777,	  -0.100835,	  2.035916,	  -5.337432,	
  5.975957,	  -0.127522,	  2.024285,	  -5.355992,	
  5.986078,	  -0.154302,	  2.012695,	  -5.374375,	
  5.996142,	  -0.181174,	  2.001144,	  -5.392582,	
  6.006148,	  -0.208137,	  1.989634,	  -5.410615,	
  6.016096,	  -0.235190,	  1.978164,	  -5.428473,	
  6.025987,	  -0.262332,	  1.966735,	  -5.446159,	
  6.035821,	  -0.289563,	  1.955346,	  -5.463674,	
  6.045598,	  -0.316881,	  1.944000,	  -5.481018,	
  6.055317,	  -0.344286,	  1.932694,	  -5.498193,	
  6.064981,	  -0.371777,	  1.921430,	  -5.515199,	
